[22/9/23, 17:25:44] Maga: ‎Los mensajes y las llamadas están cifrados de extremo a extremo. Nadie fuera de este chat, ni siquiera WhatsApp, puede leerlos ni escucharlos.
[22/9/23, 17:25:44] Antonio Murillo Sevillano: https://maps.app.goo.gl/Tdrzv5EpChmwDpRx7?g_st=iw
[23/9/23, 15:44:52] Maga: Ya esta aki
[23/9/23, 15:55:33] Antonio Murillo Sevillano: Lo has abierto ?
[23/9/23, 15:55:43] Antonio Murillo Sevillano: Has mirado la política de devolución
[23/9/23, 15:55:45] Antonio Murillo Sevillano: ?
[23/9/23, 16:03:58] Maga: No he hecho nada
[23/9/23, 16:04:46] Antonio Murillo Sevillano: Haz ya el trifling
[23/9/23, 16:06:01] Maga: Que?
[23/9/23, 16:06:22] Maga: Tengo que esperar a que llegue el de mi hermano y el de la parienta
[23/9/23, 16:13:40] Antonio Murillo Sevillano: Porque
[23/9/23, 16:13:47] Antonio Murillo Sevillano: El tricount
[23/9/23, 16:14:22] Maga: Va
[23/9/23, 16:14:47] Maga: Meteme
[24/9/23, 10:17:57] Antonio Murillo Sevillano: Mi media ha bajado un 4.8
[24/9/23, 10:18:11] Antonio Murillo Sevillano: Era algo que sabía a iba a pasar
[24/9/23, 10:18:25] Antonio Murillo Sevillano: Ahmed se ha portado con un 5
[24/9/23, 10:18:34] Antonio Murillo Sevillano: Los otros follardillas no
[24/9/23, 15:51:57] Antonio Murillo Sevillano: Si no tienes no tienes na q hacer
[24/9/23, 15:52:09] Antonio Murillo Sevillano: Vente a lo q he pasado de la ópera
[24/9/23, 15:52:23] Antonio Murillo Sevillano: Aunq ha este ritmo voy a tener a ponerlo en mejores amigos
[24/9/23, 15:52:27] Maga: Me ha dicho Maria fdez de vernos
[24/9/23, 15:52:43] Antonio Murillo Sevillano: Fuck ligeramente le estaba escribiendo a maría Fernández
[24/9/23, 15:52:46] Antonio Murillo Sevillano: Pa q se venga
[24/9/23, 15:53:33] Maga: Los que dejamos en los pueblos y la sorra niña xika?
[24/9/23, 15:53:44] Antonio Murillo Sevillano: Si
[24/9/23, 15:53:57] Maga: Warra desagradecia
[24/9/23, 15:54:09] Maga: X 12 pavos que les costó
[24/9/23, 16:04:18] Antonio Murillo Sevillano: Ya
[24/9/23, 16:04:21] Antonio Murillo Sevillano: La vd
‎[24/9/23, 16:04:33] Antonio Murillo Sevillano: ‎<adjunto: 00000060-STICKER-2023-09-24-16-04-33.webp>
[24/9/23, 17:12:11] Maga: Tienes solo una entrada no?
[24/9/23, 17:12:27] Antonio Murillo Sevillano: No
[24/9/23, 17:12:33] Antonio Murillo Sevillano: Pero eres culo veo culo kiero
‎[24/9/23, 17:12:40] Antonio Murillo Sevillano: ‎<adjunto: 00000064-STICKER-2023-09-24-17-12-40.webp>
[24/9/23, 17:12:44] Antonio Murillo Sevillano: Vente si quieres
[24/9/23, 17:12:45] Maga: No quiero ir xurri
[24/9/23, 17:12:52] Maga: Toy tieso
[24/9/23, 17:12:55] Antonio Murillo Sevillano: Tengo infinitas
[24/9/23, 17:13:03] Antonio Murillo Sevillano: Total puedo meter a qn sea
[24/9/23, 17:13:08] Maga: Pero maria me ha dicho nojeq del centro
[24/9/23, 17:13:16] Maga: Y me has robao el plan
[24/9/23, 17:14:27] Antonio Murillo Sevillano: He mejorado tu puja
[24/9/23, 17:14:44] Maga: A ver mi puja era vernos
[24/9/23, 17:15:25] Maga: But si la puja implica bajar al centro y ver tristan y isolda la verdad que no pujo
[24/9/23, 17:32:12] Maga: A que hora acaba?
[24/9/23, 18:12:18] Antonio Murillo Sevillano: Tengo que mirarlo
[24/9/23, 19:02:33] Antonio Murillo Sevillano: Vente en metro
[24/9/23, 19:02:36] Antonio Murillo Sevillano: Yo traigo coche
[24/9/23, 19:02:40] Antonio Murillo Sevillano: Son 3 actos
[24/9/23, 19:02:48] Antonio Murillo Sevillano: Si nos aburrimos nos salimos antes
[24/9/23, 19:03:01] Maga: Venga
[24/9/23, 19:03:11] Maga: Avisame cuando tu creas
[24/9/23, 20:59:13] Antonio Murillo Sevillano: Creo q a las 10 y pico poco estamos out
[24/9/23, 20:59:21] Antonio Murillo Sevillano: Nos tomamos algo x Aki no?
[24/9/23, 20:59:23] Antonio Murillo Sevillano: Sureña
[24/9/23, 20:59:40] Maga: Ostia perro q temprano
[24/9/23, 20:59:56] Maga: No te viene mejor a las 11?
[24/9/23, 21:00:03] Maga: Aprovechando el ultimo metro
[24/9/23, 21:01:24] Maga: Yo a esa hora no estoy activo sori
[24/9/23, 21:15:06] Antonio Murillo Sevillano: Komo kieras
[24/9/23, 21:15:11] Antonio Murillo Sevillano: Si prefieres San Juan
[24/9/23, 21:15:14] Antonio Murillo Sevillano: Nos da igual
[24/9/23, 21:16:12] Maga: A esa hora en sj nos vamos a tomar poko un domingo
[24/9/23, 21:16:15] Maga: Si me salgo
[24/9/23, 21:16:49] Maga: En vd me bajo
[24/9/23, 21:17:01] Maga: Nesesito andar pa despejarme
[24/9/23, 21:17:04] Maga: Toy emparre
[24/9/23, 21:19:58] Antonio Murillo Sevillano: Díselo a Belén tambn
[24/9/23, 21:20:01] Antonio Murillo Sevillano: X si quiere
[24/9/23, 21:20:04] Antonio Murillo Sevillano: Porque
[24/9/23, 21:20:07] Antonio Murillo Sevillano: La vieja ?
[24/9/23, 21:27:06] Maga: Hace fresca?
[24/9/23, 21:27:16] Maga: Na
[24/9/23, 21:27:23] Maga: Imagino q es de dormir poco
[24/9/23, 21:27:30] Maga: Pero toy bien irritable
[24/9/23, 21:27:48] Maga: Me va a mandar al carajo de una manera fea pero we
[24/9/23, 21:42:19] Antonio Murillo Sevillano: Ya
[24/9/23, 21:42:28] Antonio Murillo Sevillano: Pero no kiero q piense q no la invitamos
[24/9/23, 21:42:35] Antonio Murillo Sevillano: Nada
[24/9/23, 21:42:37] Antonio Murillo Sevillano: Calle
[24/9/23, 21:42:39] Antonio Murillo Sevillano: Calor
[24/9/23, 21:43:59] Maga: Que le queda a eso
[24/9/23, 21:44:03] Maga: Pa ir saliendo
[24/9/23, 21:55:02] Antonio Murillo Sevillano: Sal ya si kieres
[24/9/23, 21:56:46] Maga: Enga
[24/9/23, 21:58:18] Antonio Murillo Sevillano: Mira si hay de Uber eats algún dos por uno barato e interesante x el centro
[24/9/23, 21:58:23] Antonio Murillo Sevillano: Q me ruge la barriga
[24/9/23, 21:59:50] Maga: Yo acabo de senar
[24/9/23, 22:00:35] Antonio Murillo Sevillano: Va
[24/9/23, 22:00:48] Antonio Murillo Sevillano: Ven ya
[24/9/23, 22:03:23] Maga: Estoy saliendo
[24/9/23, 22:05:57] Antonio Murillo Sevillano: Se lo has dicho a belen ?
[25/9/23, 1:13:44] Antonio Murillo Sevillano: Tienes mi mechero
[25/9/23, 1:13:48] Antonio Murillo Sevillano: No me lo pierdas
[25/9/23, 1:13:58] Antonio Murillo Sevillano: Q es de Ámsterdam
[25/9/23, 1:17:58] Maga: Sii
[25/9/23, 9:44:45] Antonio Murillo Sevillano: ‎Eliminaste este mensaje.
[25/9/23, 11:15:37] Maga: K
[25/9/23, 13:01:24] Antonio Murillo Sevillano: Cuando llega el vape de tu hermano
[25/9/23, 13:01:29] Antonio Murillo Sevillano: El mío ya ha llegado
[25/9/23, 13:02:26] Maga: Queda solo el d mi hermano
[25/9/23, 13:02:35] Maga: El de la novia ha llegado hoy
‎[25/9/23, 13:02:45] Maga: ‎<adjunto: 00000133-AUDIO-2023-09-25-13-02-45.opus>
[25/9/23, 13:52:56] Antonio Murillo Sevillano: Va
[25/9/23, 13:54:50] Antonio Murillo Sevillano: Q motivo puso el colega de tu hermano para devolverlo
[25/9/23, 13:59:05] Maga: No se
[25/9/23, 13:59:08] Maga: Luego le pregunto
[25/9/23, 13:59:49] Maga: Tu dales una buena valoracion en amazon
[25/9/23, 14:00:10] Antonio Murillo Sevillano: En la valoración no tienes q decir q lo has devuelto eh
[25/9/23, 14:00:13] Antonio Murillo Sevillano: Q te veo venir
[25/9/23, 14:01:34] Maga: Hilipollas
[25/9/23, 14:09:32] Antonio Murillo Sevillano: Es q la última ves q lo hablamos cuando dijiste lo q ibas a poner mencionabas q lo devolvías
[25/9/23, 14:11:45] Maga: No
[25/9/23, 14:11:55] Maga: Tu pones que es lapolla
[25/9/23, 14:12:08] Maga: Que vaporisa yerba como un dragón
[25/9/23, 14:12:13] Maga: Y ya lo devuelves
[25/9/23, 14:12:20] Antonio Murillo Sevillano: Ya
[25/9/23, 14:12:28] Maga: Pero lo que no se es si hay un motivo de devolución
[25/9/23, 14:12:28] Antonio Murillo Sevillano: Falta saber el motivo de devolución
[25/9/23, 14:12:34] Antonio Murillo Sevillano: Hay q ponerlo x huevos
[25/9/23, 14:12:43] Antonio Murillo Sevillano: Y todo son un tiro en los huecos
[25/9/23, 14:12:46] Antonio Murillo Sevillano: No hay ninguno de
[25/9/23, 14:12:50] Antonio Murillo Sevillano: Kiero dejar de fumar
[25/9/23, 14:14:18] Maga: No cumple con mis expectativas no hay??
[25/9/23, 14:15:53] Antonio Murillo Sevillano: No
[25/9/23, 14:15:57] Antonio Murillo Sevillano: Esta ya no lo quiero
[25/9/23, 14:18:24] Maga: Ese esta bien
[25/9/23, 14:18:29] Maga: Me han regalao otro
[25/9/23, 15:22:02] Maga: Le he preguntado al colega de mi hermano
[25/9/23, 15:22:13] Maga: Y dice q pon. Lo q quieras en la devolucion
[25/9/23, 15:23:00] Antonio Murillo Sevillano: Va flama
[25/9/23, 18:56:02] Antonio Murillo Sevillano: Le voy a comprar una tartita y velas a Elena
[25/9/23, 18:56:06] Antonio Murillo Sevillano: Asin de sorpresa
[25/9/23, 18:56:20] Antonio Murillo Sevillano: Alguna sugerencia de sabor ?
[25/9/23, 18:58:33] Maga: Cocholate
[25/9/23, 19:44:00] Antonio Murillo Sevillano: El q va a grabar en la urna
[25/9/23, 19:44:03] Antonio Murillo Sevillano: Urba
[25/9/23, 19:44:44] Antonio Murillo Sevillano: Va a ser el mismo director q el de la película De Alva Inger
[25/9/23, 19:46:06] Maga: Bof
[25/9/23, 19:46:16] Maga: A salir a fumar en calzoncillos en la ventana
[25/9/23, 19:51:10] Antonio Murillo Sevillano: Le voy a Desiré
[25/9/23, 19:51:15] Antonio Murillo Sevillano: Desir
[25/9/23, 19:51:18] Antonio Murillo Sevillano: X la vieja contrátame
[25/9/23, 19:51:23] Antonio Murillo Sevillano: Aparte es en mi portal
[25/9/23, 19:55:09] Maga: El que?
[25/9/23, 19:55:18] Maga: No es en la piwi?
[25/9/23, 19:55:25] Antonio Murillo Sevillano: Piwi a es
[25/9/23, 19:55:32] Antonio Murillo Sevillano: En mi portal graban cosas
[25/9/23, 19:55:31] Maga: Pisina
[25/9/23, 19:55:43] Antonio Murillo Sevillano: El otro día estuvieron haciendo pruebas
[25/9/23, 19:56:12] Maga: Ester eposito en el bosque oscuro🤪🤪🤪
[25/9/23, 19:56:25] Antonio Murillo Sevillano: Tú y yo con medio porro de cbd
‎[25/9/23, 19:56:29] Antonio Murillo Sevillano: ‎<adjunto: 00000183-STICKER-2023-09-25-19-56-29.webp>
‎[25/9/23, 19:56:36] Antonio Murillo Sevillano: ‎<adjunto: 00000184-STICKER-2023-09-25-19-56-36.webp>
[25/9/23, 20:07:44] Maga: Si
‎[25/9/23, 20:22:13] Antonio Murillo Sevillano: ‎<adjunto: 00000186-AUDIO-2023-09-25-20-22-13.opus>
[25/9/23, 20:23:17] Antonio Murillo Sevillano: Dale
[26/9/23, 0:38:36] Maga: Mano
[26/9/23, 0:38:41] Maga: Hay cosas turbias
[26/9/23, 0:38:42] Maga: Y luego
[26/9/23, 0:38:56] Maga: Q la amiga de carlota del cumple siga en se va de hippie
[26/9/23, 9:42:23] Antonio Murillo Sevillano: La vd es a no lo había pensando
[26/9/23, 9:43:02] Antonio Murillo Sevillano: 10 de la mañana, patrivargas lleva ya despiertas 5 horas y yo me acabo de levantar
[26/9/23, 9:43:06] Antonio Murillo Sevillano: Madrugada de época
[26/9/23, 10:49:52] Maga: Same
[26/9/23, 10:51:40] Antonio Murillo Sevillano: Pa continuar con mi rutina de español de charca
[26/9/23, 10:51:44] Antonio Murillo Sevillano: Lolito
[26/9/23, 10:51:52] Maga: Bof
[26/9/23, 10:51:54] Antonio Murillo Sevillano: Y gastarme dinero en la parienta
[26/9/23, 10:51:58] Maga: Yo gym
‎[26/9/23, 10:52:03] Antonio Murillo Sevillano: ‎imagen omitida
[26/9/23, 10:52:39] Maga: Soy
‎[26/9/23, 11:58:01] Antonio Murillo Sevillano: ‎<adjunto: 00000203-PHOTO-2023-09-26-11-58-01.jpg>
[26/9/23, 12:02:17] Maga: Max gym mi religion
[26/9/23, 12:19:12] Maga: Le debo al migue muxo
[26/9/23, 12:41:37] Maga: Vaya subida de tension me ha cascado saltando a la comba
[26/9/23, 12:41:39] Maga: Damn
[26/9/23, 12:41:50] Maga: Un dolor de cabeza como si me fuera a esplotar
[26/9/23, 12:41:57] Maga: Tambien esq no he bebio awa en to el dia
[26/9/23, 13:02:09] Maga: Me he werto a la casa
[26/9/23, 13:02:14] Maga: Xq me he quedado to tieso
[26/9/23, 13:02:26] Antonio Murillo Sevillano: Q ha sido primer ejercicio ?
[26/9/23, 13:02:30] Maga: Y me tocaba boxear con golpes poderoso
[26/9/23, 13:02:37] Maga: He hecho ejercicios del tobillo
[26/9/23, 13:02:46] Maga: Con goma y eso
[26/9/23, 13:02:48] Antonio Murillo Sevillano: Press tobillo
[26/9/23, 13:02:53] Antonio Murillo Sevillano: Cual de tobillo
[26/9/23, 13:02:56] Maga: Y he hecho comba a ritmo qeno
[26/9/23, 13:03:04] Antonio Murillo Sevillano: A ve pa cuando un funcional de cara
[26/9/23, 13:04:44] Maga: ‎Se eliminó este mensaje.
‎[26/9/23, 13:06:26] Maga: ‎<adjunto: 00000221-AUDIO-2023-09-26-13-06-26.opus>
[26/9/23, 13:06:48] Maga: Uwu
[26/9/23, 13:17:21] Antonio Murillo Sevillano: Haberle pedido ayuda a Pedro
[26/9/23, 13:17:31] Antonio Murillo Sevillano: Pedro una cocacolita x favo
[26/9/23, 13:18:04] Maga: Ji
[26/9/23, 13:18:10] Maga: Me hace un mataleon
‎[26/9/23, 13:39:41] Antonio Murillo Sevillano: ‎imagen omitida
[26/9/23, 13:40:15] Maga: jajajajajajajajajajajajaha
[26/9/23, 13:40:30] Antonio Murillo Sevillano: Todos los locos me tocan a mi
[26/9/23, 13:40:46] Maga: Pa la yihad
‎[26/9/23, 13:55:59] Antonio Murillo Sevillano: ‎<adjunto: 00000231-PHOTO-2023-09-26-13-55-59.jpg>
[26/9/23, 13:57:29] Maga: Ostia
‎[26/9/23, 14:51:25] Antonio Murillo Sevillano: ‎<adjunto: 00000233-PHOTO-2023-09-26-14-51-25.jpg>
[26/9/23, 15:04:55] Maga: Dile que si no voy yo
[26/9/23, 17:54:50] Antonio Murillo Sevillano: Salte
‎[26/9/23, 17:54:55] Antonio Murillo Sevillano: ‎imagen omitida
[26/9/23, 17:55:06] Antonio Murillo Sevillano: Momento de liarla
[26/9/23, 17:58:41] Antonio Murillo Sevillano: Hay un famoso abajo
[26/9/23, 17:58:57] Maga: Si
[26/9/23, 17:59:02] Maga: Quien
[26/9/23, 17:59:06] Maga: Me lo ha dicho mi vieja
[26/9/23, 17:59:09] Maga: Pero no se
[26/9/23, 17:59:15] Antonio Murillo Sevillano: Un jipi típico de comedia española
[26/9/23, 17:59:31] Maga: Tirale un fotele
[26/9/23, 17:59:37] Maga: Estas abajo?
[26/9/23, 17:59:46] Antonio Murillo Sevillano: Me he subido
[26/9/23, 18:00:00] Antonio Murillo Sevillano: Vamos he pasado como si fuese mi casa
[26/9/23, 18:00:02] Antonio Murillo Sevillano: Sin decir na
[26/9/23, 18:00:07] Antonio Murillo Sevillano: Stay x tirar un cubo con sea
[26/9/23, 18:00:09] Maga: https://spotify.link/87ZLm9DBpDb
[26/9/23, 18:00:09] Antonio Murillo Sevillano: Agua
[26/9/23, 18:00:15] Maga: Es una ia
[26/9/23, 18:00:30] Maga: Hay una a la q le han dao 3000 lereles x grabar en su casa
[26/9/23, 18:00:37] Antonio Murillo Sevillano: Quien
[26/9/23, 18:00:42] Antonio Murillo Sevillano: Q le dejo la mía
[26/9/23, 18:00:48] Antonio Murillo Sevillano: Con mi viejo dentro
[26/9/23, 18:00:49] Maga: Una del patio de los mosquitos
[26/9/23, 18:00:59] Antonio Murillo Sevillano: No controlo los nombres esos
[26/9/23, 18:02:08] Antonio Murillo Sevillano: A la urba le han dado 4K
[26/9/23, 18:02:13] Antonio Murillo Sevillano: q mal negocian
[26/9/23, 18:03:51] Antonio Murillo Sevillano: Yo kiero ser actor
[26/9/23, 18:03:57] Maga: Mi vieja dice q ella queria 1k x dia de grabacion
[26/9/23, 18:04:02] Antonio Murillo Sevillano: Si no fuese porque me voy
[26/9/23, 18:04:04] Maga: Hay alguna diablona abajo?
[26/9/23, 18:04:14] Antonio Murillo Sevillano: Me lo camelo
[26/9/23, 18:04:28] Antonio Murillo Sevillano: La prota está bien
[26/9/23, 18:04:30] Antonio Murillo Sevillano: Total
[26/9/23, 18:04:32] Antonio Murillo Sevillano: Son actores
[26/9/23, 18:04:35] Antonio Murillo Sevillano: Hasta los feos
[26/9/23, 18:04:37] Antonio Murillo Sevillano: Son feos guapos
[26/9/23, 18:04:44] Antonio Murillo Sevillano: Son feos well made
[26/9/23, 18:04:59] Maga: Mi bro q no memoriza una cancion y no puede contar la historia de la porra sin reirse
[26/9/23, 18:05:10] Maga: Lit
[26/9/23, 18:05:14] Antonio Murillo Sevillano: Lo de la porra si puedo
[26/9/23, 18:05:18] Antonio Murillo Sevillano: Peores mentiras he contado
[26/9/23, 18:05:18] Maga: Son fros cuidados
[26/9/23, 18:05:39] Maga: La siguiente vez la cuentas tu
[26/9/23, 18:06:10] Antonio Murillo Sevillano: Verás
[26/9/23, 18:06:14] Antonio Murillo Sevillano: Q hasta cuela mas
[26/9/23, 18:07:16] Maga: Hermano la cuento d exquisitas maneras
[26/9/23, 18:07:24] Maga: Lo q pasa esq no me queda a quien contarla
[26/9/23, 18:07:39] Maga: Tiene un porcentaje de acierto del 95%
[26/9/23, 18:08:17] Antonio Murillo Sevillano: Hombre te la sabes mejor q el abc
[26/9/23, 18:08:25] Antonio Murillo Sevillano: La has contado 200 veces
[26/9/23, 18:09:25] Maga: Yo a mi suegro contandole el dia q un policia nos paro en la puerta del estanco😝
[26/9/23, 18:09:45] Antonio Murillo Sevillano: Es de coña q me voy yo
[26/9/23, 18:09:51] Antonio Murillo Sevillano: Y pasan cosas
[26/9/23, 18:10:06] Antonio Murillo Sevillano: Los latin Grammy
[26/9/23, 18:10:08] Antonio Murillo Sevillano: La película
[26/9/23, 18:10:12] Maga: Lit
[26/9/23, 18:10:12] Antonio Murillo Sevillano: Miguelito encarando mujeres
[26/9/23, 18:10:24] Antonio Murillo Sevillano: Diego doblete
‎[26/9/23, 18:11:02] Maga: ‎<adjunto: 00000293-GIF-2023-09-26-18-11-02.mp4>
[26/9/23, 18:11:04] Maga: Sj cuando vuelvas
[26/9/23, 18:28:01] Antonio Murillo Sevillano: ya la ha liado lurike x nosotros
[26/9/23, 18:28:16] Antonio Murillo Sevillano: se ha puesto a tocar como si las teclas fuesen tetas
[26/9/23, 18:28:47] Maga: JAJAJAJAJAJA
[26/9/23, 18:29:02] Antonio Murillo Sevillano: y han tenido q llamar a mi kelo
[26/9/23, 18:29:04] Antonio Murillo Sevillano: pa le bajase
[26/9/23, 18:41:11] Maga: Tocando la tusa
[26/9/23, 20:03:06] Antonio Murillo Sevillano: http://portalvirtualempleo.us.es/x-feria-de-empleo-de-la-universidad-de-sevilla/
[26/9/23, 20:03:15] Antonio Murillo Sevillano: Vamos ?
‎[26/9/23, 20:12:17] Maga: ‎<adjunto: 00000303-AUDIO-2023-09-26-20-12-17.opus>
[26/9/23, 20:13:00] Antonio Murillo Sevillano: Q dia ?
[26/9/23, 20:13:03] Antonio Murillo Sevillano: Mañana o pasado
[26/9/23, 20:13:39] Antonio Murillo Sevillano: Hay por la mañana y por la tarde
[26/9/23, 20:20:07] Maga: Pasao
‎[26/9/23, 20:20:18] Maga: ‎<adjunto: 00000308-AUDIO-2023-09-26-20-20-18.opus>
[26/9/23, 20:25:59] Antonio Murillo Sevillano: A q hora tienes las clases
[26/9/23, 20:26:01] Antonio Murillo Sevillano: Mañana
[26/9/23, 20:26:12] Antonio Murillo Sevillano: Eso está desde las 10
‎[27/9/23, 10:03:15] Antonio Murillo Sevillano: ‎<adjunto: 00000312-AUDIO-2023-09-27-10-03-14.opus>
‎[27/9/23, 11:22:20] Antonio Murillo Sevillano: ‎imagen omitida
[27/9/23, 11:24:09] Maga: Cuando el ekilio salga en calzoncillos peleandose con el padre ya se les pasara
[27/9/23, 11:24:23] Maga: Poco les hemos cobrado
‎[27/9/23, 12:43:32] Maga: ‎<adjunto: 00000316-AUDIO-2023-09-27-12-43-32.opus>
[27/9/23, 12:44:26] Antonio Murillo Sevillano: Vamos mañana x la tarde
[27/9/23, 12:44:36] Antonio Murillo Sevillano: O hoy x la tarde
[27/9/23, 12:44:42] Antonio Murillo Sevillano: O mañana a partir de las 11 y media creo
‎[27/9/23, 12:46:04] Maga: ‎<adjunto: 00000320-AUDIO-2023-09-27-12-46-04.opus>
[27/9/23, 12:49:19] Antonio Murillo Sevillano: Hoy no tenias x la mañana ?
‎[27/9/23, 12:51:59] Maga: ‎<adjunto: 00000322-AUDIO-2023-09-27-12-51-59.opus>
‎[27/9/23, 12:54:19] Maga: ‎<adjunto: 00000323-AUDIO-2023-09-27-12-54-19.opus>
[27/9/23, 12:54:55] Antonio Murillo Sevillano: Serán stants de empresas y de la uni
[27/9/23, 12:55:44] Maga: Ofertando trabajo?
[27/9/23, 12:56:06] Antonio Murillo Sevillano: Más o menos
‎[27/9/23, 12:57:43] Maga: ‎<adjunto: 00000327-AUDIO-2023-09-27-12-57-43.opus>
[27/9/23, 13:27:28] Antonio Murillo Sevillano: Son stants de empresas
[27/9/23, 13:27:30] Antonio Murillo Sevillano: Y de la uni
[27/9/23, 13:35:52] Maga: A kien le has dicho lo de bodeguita
[27/9/23, 13:36:05] Maga: Xq toy hablando con mari fdez
[27/9/23, 13:36:17] Antonio Murillo Sevillano: Díselo tambn
[27/9/23, 13:36:22] Antonio Murillo Sevillano: Pero ella va en el turno de mañana
[27/9/23, 13:36:44] Maga: Ah entonse na
[27/9/23, 13:37:01] Maga: Yo me creia que mañana era parienta
[27/9/23, 13:39:36] Antonio Murillo Sevillano: Era ayer
[27/9/23, 13:40:05] Maga: Ya no la ves mais?
[27/9/23, 13:41:20] Antonio Murillo Sevillano: Hoy se viene creo
[27/9/23, 13:41:26] Antonio Murillo Sevillano: Y el viernes pa desayunar
‎[27/9/23, 14:04:52] Maga: ‎<adjunto: 00000340-AUDIO-2023-09-27-14-04-52.opus>
‎[27/9/23, 14:05:06] Maga: ‎<adjunto: 00000341-AUDIO-2023-09-27-14-05-06.opus>
‎[27/9/23, 14:06:34] Maga: ‎<adjunto: 00000342-AUDIO-2023-09-27-14-06-34.opus>
‎[27/9/23, 14:08:06] Maga: ‎<adjunto: 00000343-AUDIO-2023-09-27-14-08-06.opus>
[27/9/23, 14:10:19] Antonio Murillo Sevillano: metelo tu
[27/9/23, 14:10:22] Antonio Murillo Sevillano: en el tricount
[27/9/23, 14:10:27] Antonio Murillo Sevillano: q lo tengo en el otro movil
[27/9/23, 14:10:37] Antonio Murillo Sevillano: la discotec la pague yo
[27/9/23, 14:10:44] Antonio Murillo Sevillano: la gasolina de vuelta tambn la puse yo
‎[27/9/23, 14:11:15] Maga: ‎<adjunto: 00000349-AUDIO-2023-09-27-14-11-15.opus>
[27/9/23, 14:11:56] Antonio Murillo Sevillano: voy a ver como te lo puedo mandar
‎[27/9/23, 14:12:17] Maga: ‎<adjunto: 00000351-AUDIO-2023-09-27-14-12-17.opus>
[27/9/23, 14:14:21] Antonio Murillo Sevillano: te  lo he enviado x gmail
[27/9/23, 14:16:45] Maga: La gasofa habra q hacerla aparte
[27/9/23, 14:16:59] Maga: Creo yo
[27/9/23, 14:19:16] Antonio Murillo Sevillano: ahora veo
[27/9/23, 14:19:35] Maga: Sin gas
[27/9/23, 14:19:46] Maga: Se queda en 5 pa mi
[27/9/23, 14:20:13] Maga: Y cuanto has sacao de bla blacat
[27/9/23, 14:20:28] Maga: En ese coche hemos metido 50 euros
[27/9/23, 14:20:34] Maga: Sin contar lo q tenia
[27/9/23, 14:20:57] Maga: 30 pa la vuelta y 20 en la ida
[27/9/23, 14:59:37] Maga: Vente ahora a la casa
[27/9/23, 14:59:44] Maga: Llevate los tape
[27/9/23, 15:00:02] Maga: Y dale coaching informatico a mi viejo
[27/9/23, 15:08:16] Antonio Murillo Sevillano: De a
[27/9/23, 15:08:27] Antonio Murillo Sevillano: 48
[27/9/23, 15:08:41] Antonio Murillo Sevillano: De q
[27/9/23, 15:08:56] Antonio Murillo Sevillano: Le he pasado a una cachorrilla tu contacto
[27/9/23, 15:11:53] Antonio Murillo Sevillano: pa trabajar
[27/9/23, 15:11:58] Antonio Murillo Sevillano: me llueven los trabajos ahora q me voty
[27/9/23, 15:12:01] Antonio Murillo Sevillano: acojonante
[27/9/23, 15:20:56] Maga: De que
[27/9/23, 15:21:07] Antonio Murillo Sevillano: striper
